Code,Item,Group,Region_Number,Region_Name,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Average_Annual_Percent_Growth
1,Medicaid/Personal Health Care ($),United States,0,United States,,3545.386,3615.819,3783.967,3972.254,4188.403,4465.135,4719.899,5022.737,5324.11,5473.692,5671.109,5697.318,5814.884,6089.366,6279.856,6226.198,6632.022,6704.695,6825.871,3.7
1,Medicaid/Personal Health Care ($),Region,1,New England,,4845.321,5285.951,5226.964,6048.695,6563.193,6502.049,7058.909,7092.393,7379.327,7631.906,7764.618,7850.986,8344.103,8948.021,9210.676,8772.949,8583.562,8624.841,8982.509,3.5
1,Medicaid/Personal Health Care ($),State,1,New England,Connecticut,5387.439,6129.808,6291.316,6845.978,7436.885,7526.03,8358.072,8338.975,8623.436,8922.683,8674.563,8695.27,8052.135,8889.355,8854.788,9198.294,9225.068,9968.205,10932.971,4
1,Medicaid/Personal Health Care ($),State,1,New England,Maine,3811.1,4169.331,4796.938,5081.348,5315.279,5723.619,6379.135,7238.88,7241.687,7367.756,6062.328,4937.992,7624.883,7880.71,7774.509,7523.485,6935.544,7247.811,8077.111,4.3
1,Medicaid/Personal Health Care ($),State,1,New England,Massachusetts,5132.185,5719.557,5049.466,6025.838,6782.949,6546.003,6929.156,6760.342,7170.169,7496.413,7807.213,8392.068,8887.103,9231.404,9783.709,8778.076,8447.016,8162.459,8277.85,2.7
1,Medicaid/Personal Health Care ($),State,1,New England,New Hampshire,5737.308,6154.731,6693.374,7047.521,7307.283,7457.846,8055.478,9391.558,8889.265,9894.635,9946.678,10054.235,9511.113,11042.966,10443.714,9856.633,10523.24,10354.85,10302.106,3.3
1,Medicaid/Personal Health Care ($),State,1,New England,Rhode Island,3675.074,3880.683,4767.284,6713.937,6181.419,6049.752,7585.956,7446.531,7543.052,6905.428,8848.657,8889.668,8678.49,10114.809,10243.998,10261.67,9959.828,10812.444,10780.267,6.2
1,Medicaid/Personal Health Care ($),State,1,New England,Vermont,3353.211,3213.701,3221.594,3241.86,3434.82,3478.749,3392.427,3552.799,3988.08,4417.389,4882.866,5178.501,5498.88,6054.29,6745.708,7063.075,7906.844,7149.948,7388.559,4.5
1,Medicaid/Personal Health Care ($),Region,2,Mideast,,5628.134,5784.262,5940.757,6181.093,6491.478,6871.516,6891.586,7792.738,8163.956,8792.073,9041.397,9127.821,9363.066,9340.562,9460.362,9535.333,9929.414,9944.606,9820.714,3.1
1,Medicaid/Personal Health Care ($),State,2,Mideast,Delaware,4234.006,4131.792,4171.669,4409.442,4950.206,5268.303,4527.311,5095.633,4765.037,5179.731,5225.901,5166.593,5400.744,5648.873,5770.544,6094.521,6492.708,6779.143,6679.126,2.6
1,Medicaid/Personal Health Care ($),State,2,Mideast,District of Columbia,5418.241,5398.635,5660.313,6045.22,6197.237,5736.982,6212.682,7190.346,6575.906,7076.591,6985.459,7670.019,7723.247,8523.986,8743.425,8678.198,9532.082,10125.028,10486.952,3.7
1,Medicaid/Personal Health Care ($),State,2,Mideast,Maryland,4301.684,4394.009,4490.142,4724.759,4817.232,4070.371,3138.172,5206.762,5557.163,5511.923,6283.041,6479.218,7360.234,7475.139,7809.039,8021.691,8555.976,8495.925,8533.019,3.9
1,Medicaid/Personal Health Care ($),State,2,Mideast,New Jersey,5330.737,5210.864,5559.389,5946.292,6303.092,6634.408,7128.106,7242.466,7736.592,8063.651,7673.579,8945.154,9624.912,9871.991,11209.177,11211.023,10581.669,10910.771,10824.907,4
1,Medicaid/Personal Health Care ($),State,2,Mideast,New York,7132.186,7244.875,7513.324,7676.21,8063.887,8709.459,8687.159,9752.37,9915.378,10646.126,10739.021,10277.907,10354.951,10140.676,9817.65,10207.504,10733.498,10798.723,10707.509,2.3
1,Medicaid/Personal Health Care ($),State,2,Mideast,Pennsylvania,3251.636,3800.431,3667.928,3984.464,4220.265,4783.409,5531.721,5447.12,6248.977,7120.297,7682.371,7901.619,8028.202,8199.441,8774.695,8037.386,8524.749,8311.196,8048.745,5.2
1,Medicaid/Personal Health Care ($),Region,3,Great Lakes,,3193.504,3478.231,3765.331,3842.228,4076.56,4539.492,5017.377,5075.703,5674.851,5942.657,6134.576,6041.22,5958.015,5984.322,6169.569,5794.514,6252.725,6223.22,6416.005,4
1,Medicaid/Personal Health Care ($),State,3,Great Lakes,Illinois,2332.581,3032.548,3335.942,3357.06,3587.494,4032.731,4159.29,4368.47,4712.603,5210.819,5221.005,5417.696,5334.081,5208.039,5659.615,5210.535,5982.837,5562.876,5772.771,5.2
1,Medicaid/Personal Health Care ($),State,3,Great Lakes,Indiana,5558.3,5472.813,5814.494,5080.401,4549.637,5477.853,5287.671,5675.613,5647.669,6008.888,6000.214,6029.493,5694.725,6456.069,6861.157,6103.671,6530.902,6971.908,6228.912,0.6
1,Medicaid/Personal Health Care ($),State,3,Great Lakes,Michigan,2860.762,2967.573,3292.631,3577.004,3996.697,4386.038,5417.239,4471.638,5887.557,5332.336,5806.516,5069.203,5451.657,5282.238,5233.39,5126.575,5566.474,5728.098,5703.159,3.9
1,Medicaid/Personal Health Care ($),State,3,Great Lakes,Ohio,3430.896,3513.759,3774.584,3995.683,4379.663,4774.352,5352.892,5860.902,6326.859,6988.121,6808.174,6895.543,7061.238,7365.474,7354.291,6987.572,7265.643,7336.312,7468.761,4.4
1,Medicaid/Personal Health Care ($),State,3,Great Lakes,Wisconsin,3931.144,4067.377,4174.262,4336.953,4558.465,5053.095,5857.974,6451.268,6648.752,7030.466,8106.099,7904.082,6418.397,5924.308,6063.027,5627.435,5880.469,5855.184,7583.855,3.7
1,Medicaid/Personal Health Care ($),Region,4,Plains,,4025.825,4333.551,4341.486,4580.676,4695.679,4935.763,5112.535,5591.682,5729.935,6213.491,6332.501,6753.869,6870.906,7363.683,7694.772,7812.574,8289.46,8425.765,8471.32,4.2
1,Medicaid/Personal Health Care ($),State,4,Plains,Iowa,4188.61,4220.936,4479.846,4615.903,4964.919,5411.633,5044.763,5415.027,6111.709,7097.104,6574.852,7106.597,7428.885,7459.702,7538.238,7121.664,7027.62,7069.883,6886.571,2.8
1,Medicaid/Personal Health Care ($),State,4,Plains,Kansas,3840.262,5365.058,4553.146,5183.579,4390.414,4736.571,5472.209,6064.009,6089.742,7148.375,6950.052,7256.54,6247.864,6978.507,7272.279,7440.113,7849.966,7950.58,8068.93,4.2
1,Medicaid/Personal Health Care ($),State,4,Plains,Minnesota,5365.709,5119.033,5331.43,5536.918,5762.513,5576.472,5669.079,6268.649,6577.501,7092.252,7638.329,8436.802,8289.485,9044.012,9078.114,9092.057,9867.266,9932.927,9850.565,3.4
1,Medicaid/Personal Health Care ($),State,4,Plains,Missouri,2697.942,3584.374,3426.455,3646.159,3840.638,4190.406,4537.059,4879.764,4916.748,5213.74,5311.618,5543.687,5889.398,6379.994,6947.047,7385.914,7959.27,8219.373,8397.905,6.5
1,Medicaid/Personal Health Care ($),State,4,Plains,Nebraska,3740.324,3781.838,4218.236,4458.11,4526.213,4877.149,4864.185,5772.496,5575.261,5643.443,6265.128,6288.648,7533.274,7548.375,8097.724,7835.781,8279.706,8249.366,8227.841,4.5
1,Medicaid/Personal Health Care ($),State,4,Plains,North Dakota,6998.203,5201.417,5336.312,5675.782,6168.449,6792.958,6645.725,7349.285,7367.262,8516.629,7813.858,8140.731,7926.776,9139.015,9460.715,9260.49,9606.279,9718.269,10110.811,2.1
1,Medicaid/Personal Health Care ($),State,4,Plains,South Dakota,5248.31,4264,4506.124,4731.981,4899.376,5013.703,5269.685,5506.773,5322.329,5752.218,5481.394,6436.909,5898.927,6268.306,6263.486,6263.675,6385.388,6723.974,6938.306,1.6
1,Medicaid/Personal Health Care ($),Region,5,Southeast,,2988.786,2977.317,3151.371,3336.566,3418.786,3580.849,3771.501,3930.992,4053.331,4441.441,4713.134,4784.926,4958.697,5413.869,5419.056,5360.35,5918.843,5977.017,6049.964,4
1,Medicaid/Personal Health Care ($),State,5,Southeast,Alabama,2347.713,2641.022,2775.385,2982.369,3358.859,3338.728,3696.687,3886.163,3970.026,4400.331,3920.8,3940.252,4233.731,4300.837,4554.283,4651.972,5137.648,5065.821,5085.845,4.4
1,Medicaid/Personal Health Care ($),State,5,Southeast,Arkansas,3442.678,3556.309,3763.855,3951.267,4210.083,4400.308,4313.144,3996.407,3777.052,3861.621,4175.572,4349.618,3931.959,4379.031,4382.118,4507.183,5331.833,5560.651,5871.311,3
